parameter,value,description
model_track,RAZORPAY_SERVING_MODEL,Authoritative serving model identifier
model_framework,XGBoost (xgboost.sklearn.XGBClassifier),Underlying tree boosting framework
pipeline_type,sklearn.pipeline.Pipeline,End-to-end encapsulated estimator pipeline
calibrator_type,isotonic,Probability calibration technique applied post-inference
number_of_features,15,Exact count of causally safe contract features
features_list,amount;log_amount;hour_of_day;day_of_week;email_domain;email_domain_missing;card_network;card_type;previous_transaction_count;is_new_customer;avg_customer_amount;amount_deviation;amount_ratio;txns_last_1h;txns_last_24h,Semicolon-separated contract feature list
training_dataset_rows,413378,Number of transactions in training partition
training_fraud_count,14538,Number of fraud transactions in training partition
training_fraud_prevalence,3.5169%,Natural fraud prevalence in training split
validation_dataset_rows,88581,Number of transactions in validation partition
validation_fraud_count,3042,Number of fraud transactions in validation partition
validation_fraud_prevalence,3.4341%,Natural fraud prevalence in validation split
best_iteration,71,Early stopping best iteration round
n_estimators,100,Maximum number of boosting rounds
max_depth,4,Maximum tree depth for base learners
learning_rate,0.1,Boosting shrinkage parameter
scale_pos_weight,27.4343,Class imbalance negative/positive ratio weight
objective,binary:logistic,Loss objective for binary classification
eval_metric,aucpr,Validation metric used for early stopping
early_stopping_rounds,10,Rounds without PR-AUC gain before stopping
random_state,42,Deterministic seed for reproducibility
